Country,Life Expectancy at Birth (2021),Expected Years of Schooling (2021),Mean Years of Schooling (2021),Gross National Income Per Capita (2021),Human Development Index (2021)
Lebanon,75.0472,11.28587,8.718636,9525.831467,0.706
Liberia,60.7472,10.42078972,5.082,1288.74235,0.481
Libya,71.9112,12.85428,7.599985,15335.712,0.718
Saint Lucia,71.1114,12.86610985,8.545040131,12048.30381,0.715
Liechtenstein,83.2575,15.18157005,12.53854,146829.7006,0.935
Sri Lanka,76.3991,14.13990486,10.82730007,12578.22055,0.782
Lesotho,53.062,12.04087801,6.010184707,2700.435748,0.514
Lithuania,73.7201,16.28506088,13.49810028,37931.30359,0.875
Luxembourg,82.6287,14.39813995,13.01519217,84649.47467,0.93
Latvia,73.5786,16.20252991,13.25271988,32803.23423,0.863
Morocco,74.0419,14.15190983,5.916,7302.81917,0.683
Monaco,85.9463,13.510846074849743,8.98691645760733,20136.391498581866,0.7205759162303664
Moldova,68.8459,14.43299961,11.82159042,14875.33189,0.767
Madagascar,64.4853,10.13499142,5.120468534,1483.520983,0.501
Maldives,79.9182,12.63560963,7.322,15448.12788,0.747
Mexico,70.2127,14.86443996,9.221050262,17896.29498,0.758
Marshall Islands,65.2688,10.2393198,10.88313961,4619.535393,0.639
North Macedonia,73.8415,13.62443234,10.22815037,15917.75283,0.77
Mali,58.9414,7.423037617,2.31,2132.629443,0.428
Malta,83.7769,16.83856964,12.21026039,38884.45623,0.918
Myanmar,65.6716,10.90913752,6.37680006,3850.524234,0.585
Montenegro,76.3426,15.08160973,12.17648306,20838.80129,0.832
Mongolia,70.9754,14.98034954,9.423700333,10588.22532,0.739
Mozambique,59.3247,10.2191516,3.197641838,1198.073924,0.446
Mauritania,64.3636,9.376159668,4.918804891,5075.305711,0.556
Mauritius,73.5552,15.17352977,10.42791048,22025.34631,0.802
Malawi,62.9044,12.67898523,4.489695385,1465.635064,0.512
Malaysia,74.8839,13.34304047,10.64505959,26657.94355,0.803
Namibia,59.269,11.92720692,7.192013277,8633.504452,0.615
Niger,61.5763,6.957111988,2.116717299,1239.866936,0.4
Nigeria,52.676,10.12758388,7.181074153,4790.284425,0.535
Nicaragua,73.8368,12.64135783,7.144,5624.793595,0.667
Netherlands,81.6873,18.69316522,12.58162975,55979.411,0.941
Norway,83.2339,18.18519974,13.00362968,64660.10622,0.961
Nepal,68.4495,12.88694954,5.121792742,3877.315444,0.602
Nauru,63.617,11.69042029,8.98691645760733,17729.74084,0.7205759162303664
New Zealand,82.4513,20.28388977,12.94468975,44057.31394,0.937
Oman,72.5406,14.57349014,11.65404034,27054.32505,0.816
Pakistan,66.0979,8.658349991,4.536330223,4623.70543,0.544
Panama,76.2233,13.05787868,10.54059029,26956.83707,0.805
Peru,72.3769,15.38773354,9.885518863,12245.89366,0.762
Philippines,69.2664,13.12656975,8.969099998,8920.428468,0.699
Palau,66.0204,15.78432,12.49143,13818.67869,0.767
Papua New Guinea,65.3506,10.36077074,4.74,4008.623573,0.558
Poland,76.4572,16.0271492,13.1647501,33033.96081,0.876
North Korea,73.2845,10.78317,8.98691645760733,20136.391498581866,0.7205759162303664
Portugal,81.0443,16.87122917,9.575940132,33154.53343,0.866
Paraguay,70.2617,12.98799113,8.861840248,12349.286,0.717
"Palestine, State of",73.4727,13.35801029,9.938480377,6582.899416,0.715
Qatar,79.2716,12.63722038,9.99601145,87134.13469,0.855
Romania,74.1847,14.22990036,11.27511978,30027.29131,0.821
Russian Federation,69.419,15.76636982,12.77428805,27166.30891,0.822
Rwanda,66.0722,11.23097038,4.425292358,2209.795202,0.534
Saudi Arabia,76.936,16.13549042,11.31052971,46111.55135,0.875
Sudan,65.2667,7.945187858,3.82,3575.19084,0.508
Senegal,67.0926,8.963749886,2.937938258,3344.311825,0.511
Singapore,82.7545,16.5243206,11.92488003,90918.64471,0.939
Solomon Islands,70.3477,10.32869027,5.711848,2481.511362,0.564
Sierra Leone,60.0624,9.57339109,4.576081285,1621.512579,0.477
El Salvador,70.7479,12.67134767,7.150929928,8295.665889,0.675
San Marino,80.8786,12.26613998,10.80146027,52653.82534,0.853
Somalia,55.2803,13.510846074849743,8.98691645760733,1017.96785,0.7205759162303664
Serbia,74.1923,14.40009022,11.36987019,19123.02747,0.802
South Sudan,54.9752,5.54251,5.726140022,767.787,0.385
Sao Tome and Principe,67.5912,13.36538506,6.215599435,4021.350815,0.618
Suriname,70.2743,13.03564357,9.77680063,12672.20033,0.73
Slovakia,74.9101,14.51303959,12.91141987,30690.48552,0.848
Slovenia,80.6904,17.65492058,12.80368042,39746.01987,0.918
Sweden,82.9833,19.41852951,12.60972023,54489.37401,0.947
Eswatini,57.0657,13.74434586,5.596,7678.591873,0.597
Seychelles,71.2945,13.94161034,10.28312,25830.61775,0.785
Syrian Arab Republic,72.0627,9.164219856,5.1,4191.933893,0.577
Chad,52.5254,8.035914334,2.57377421,1364.169417,0.394
Togo,61.6194,12.95049378,5.016807367,2166.619062,0.539
Thailand,78.7154,15.88221913,8.697119713,17030.15352,0.8
Tajikistan,71.5942,11.65303618,11.3333938,4547.742427,0.685
Turkmenistan,69.2644,13.21039963,11.26139,13020.7155,0.745
Timor-Leste,67.7369,12.616098,5.43679,4460.869435,0.607
Tonga,70.9857,16.04857063,11.392594,6822.03125,0.745
Trinidad and Tobago,72.9709,14.53545292,11.61062419,23392.02084,0.81
Tunisia,73.7719,15.42538224,7.431598614,10257.54477,0.731
Turkey,76.0324,18.3382206,8.63313961,31032.80106,0.838
Tuvalu,64.5466,9.40443,10.57310772,6351.435899,0.641
Tanzania,66.2007,9.221489906,6.37289871,2664.329096,0.549
Uganda,62.7048,10.14986994,5.730941566,2181.43651,0.525
Ukraine,71.624,14.95656854,11.13142043,13255.50977,0.773
Uruguay,75.4356,16.83259964,8.982549667,21268.88122,0.809
United States,77.1982,16.28097916,13.68342972,64765.21509,0.921
Uzbekistan,70.8616,12.47714043,11.89558983,7916.785725,0.727
Saint Vincent and the Grenadines,69.6291,14.67220567,10.83343029,11961.08792,0.751
Venezuela,70.5536,12.81608,11.10727736,4810.882621,0.691
Viet Nam,73.6181,12.9519325,8.370280266,7867.371345,0.703
Vanuatu,70.449,11.53531503,7.064846,3085.411633,0.607
Samoa,72.7675,12.41885948,11.4038,5307.953374,0.707
Yemen,63.7534,9.09871006,3.2,1314.270189,0.455
South Africa,62.341,13.64371014,11.37316036,12948.37325,0.713
Zambia,61.2234,10.92876021,7.187091494,3217.767739,0.565
Zimbabwe,59.2531,12.11096904,8.710908501,3809.887158,0.593
